MD;UpscaledThinLayerRemoval;INSPHASE;AMPCONS;RMS;RAI;FLAT;SWT
5399.8368;1;-160.8970947;0.229082286;24513.85352;2214.0979;0.05979101;23756.41016
5399.9892;1;-166.9274139;0.229087308;24567.81836;1956.468506;0.060863782;23569.0332
5400.1416;1;-167.1426849;0.229099557;24615.74414;1963.034668;0.061723091;23340.07227
5400.294;1;-166.9144592;0.229112357;24663.20703;1989.751343;0.062566117;23107.93945
5400.4464;1;-166.6862335;0.229125157;24710.67188;2016.468018;0.063409157;22875.80664
5400.5988;1;-166.4580078;0.229137957;24758.13477;2043.18457;0.06425219;22643.67383
5400.7512;1;-166.2297821;0.229150772;24805.59961;2069.901367;0.065095224;22411.54102
5400.9036;1;-166.0015564;0.229163572;24853.0625;2096.61792;0.065938257;22179.4082
5401.056;1;-165.7733154;0.229176372;24900.52539;2123.334473;0.06678129;21947.27539
5401.2084;1;-165.545105;0.229189172;24947.99023;2150.05127;0.067624323;21715.14258
5401.3608;1;-165.316864;0.229201973;24995.45313;2176.767822;0.068467364;21483.00977
5401.5132;1;-165.0886383;0.229214773;25042.91797;2203.484619;0.06931039;21250.87695
5401.6656;1;-164.8604126;0.229227588;25090.38086;2230.201172;0.070153423;21018.74414
5401.818;1;-164.6321716;0.229240388;25137.84375;2256.917969;0.070996463;20786.61133
5401.9704;1;-164.4039459;0.229253188;25185.30859;2283.634522;0.071839489;20554.47852
5402.1228;1;-164.1757202;0.229265988;25232.77148;2310.351074;0.072682522;20322.3457
5402.2752;1;-163.9474945;0.229278788;25280.23633;2337.067871;0.073525563;20090.21289
5402.4276;1;-163.7192688;0.229291603;25327.69922;2363.784424;0.074368589;19858.08008
5402.58;1;-163.4910431;0.229304403;25375.16406;2390.501221;0.075211622;19625.94727
5402.7324;1;-163.2628021;0.229317203;25422.62695;2417.217773;0.076054663;19393.81445
5402.8848;1;-163.0345764;0.229330003;25470.08984;2443.93457;0.076897688;19161.68164
5403.0372;1;-162.8063507;0.229342803;25517.55469;2470.651123;0.077740721;18929.54883
